context_id	word	gold_sense_id	predict_sense_id	positions	context
3492	акция			104-109	точными сведениями осенью. Напомним, что сначала ГК «Бородино» собиралась провести публичное размещение акций в начале 2006 г., потом сроки сдвинулись ближе к концу года. В
3493	акция			6-11,79-84	пакет акций. «Все зависит от того, насколько реально компания сама оценит свои акции», – сказал в разговоре с RBC daily аналитик ИК «АТОН» Алексей Языков. Однако,
3494	акция			70-75,119-124	в ЕГРЮЛ только 5 октября 2012 года, а госрегистрация отчета о выпуске акций датируется 7 декабря 2012 года. Допэмиссию акций завершили в начале сентября 2013
3495	акция			67-72	8%, а бумаги Дальсвязи подорожали на 4,4%. Вместе с тем банковские акции не повторяли тех достижений, что они демонстрировали на прошлой неделе. В итоге
3496	акция			90-95	, пожилые - у нас много категорий граждан, которым сложно преодолевать препятствия. И эта акция побуждает общество проникнуться их проблемами. В добрый путь!
3497	акция			96-101	сообщал «Новый Регион», Хозяйственный суд Киева вернул в государственную собственность более 90%акций Балаклавского рудоуправления, признав, что они «были противоправно отчуждены в пользу частной структуры»
3498	акция			72-77	ансамбля из двух отелей — «Будапешт» и «Петр I». Продав на аукционе 100%акций ОАО «Отель «Будапешт» и 30-процентный пакет в ОАО «Гостиница «Будапешт», структурам,
3499	акция			95-100	. Было бы удивительно, если бы это остановило «внесистемщиков» — вчера они попытались провести акции протеста. Но в тех местах, которые были выбраны для митингов, они были
3500	акция			89-94	из показаний бывшего топ-менеджера «Ренессанса» Юрия Сагайдака по делу о попытке хищения акций Михайловского ГОКа, именно Игорь Сагирян впервые рекомендовал г-на Клюева как профессионального консультанта
3501	акция			83-88	судом Московского округа. ОПК в свою очередь днем позже сообщила, что собственники акций Балтийского завода и «Северной верфи» никогда не передавали их в доверительное управление
3502	акция			85-92	госдолга Армении, который составляет $100 млн. (Армения готова расплачиваться с нами акциями своих предприятий.) Кроме того, Россию интересует возможность участия в приватизации энергораспределяющих сетей
3503	акция			103-108	рынке слабоалкогольных и газированных напитков, Алексей Берестовский пояснил RBC daily, что размещение акций на бирже – один из самых популярных способов для привлечения средств на дальнейшее
3504	акция			28-33,76-81	, начисленных на количество акций: чем больше баллов, тем больше мест. За 5%акций РТС можно получить одно место в НРД и Фондовой бирже, либо одно
3505	акция			98-104,137-142	последнее время размещений на Лондонской фондовой бирже, продолжает стимулировать интерес к своим акциям в России. Со вчерашнего дня его акции торгуются не только в РТС,
3506	акция			81-86	заводик в Самаре). С самыми крупными из акционеров (владеющими в совокупности 35%акций) поговорить корреспонденту «Эксперта» удалось лишь через посредников. В результате выяснилось, что продавать
3507	акция			69-74	потратить не менее 25 млн долл. на приобретение GDR TME (равно одной акции) во время IPO компании, прошедшего 13 февраля 2006 года, без права их
3508	акция			92-97	""" перед Сбербанком в размере 26 миллиардов рублей. Не исключается также передача блокпакета акций холдинга Сбербанку. Кроме того, в рамках обмена АФК ""Система"" передаст ""Связьинвесту"" 100%"
3509	акция			70-76	в том, какой процент от прибыли будет идти на выплаты по обыкновенным акциям. Напомню, что в соответствии с уставом компании сумма, выплачиваемая в качестве дивидендов
3510	акция			91-98	было запланировано получить $1.2 млрд. Выполнение же социальных программ можно соединить с акциями по популяризации собственных персон. Как правильно рассудили вчерашние революционеры, лишний рубль в
3511	акция			88-93	, Девятый арбитражный апелляционный суд отменил ранее принятое решение о передаче 88,32%акций Балтийского завода в доверительное управление Центральному банку. По сути, завод вновь вернулся
3512	акция			101-106	покрывали потребностей даже на самые необходимые нужды города. Преступные группировки скупали пакеты акций предприятий, проводили своих представителей в местные властные структуры. Социальная и экономическая инфраструктура
3513	акция			78-83	», и провалов, к счастью, не было. Правда, в некоторых случаях наши рекламные акции могут закончиться судебным разбирательством. Но иногда бренду, для того чтобы себя эффективно
3514	акция			68-73,120-125	: на этом рынке всегда есть риск потерять все. И второе, вложения в акции должны быть долгосрочными. Если раньше купить акцию Сбербанка можно было только через
3515	акция			64-69	мы снизили цены на 20—30% на большинство наших продуктов, и эта акция действует до конца июня. В зависимости от дальнейшего развития ситуации возможны и
3516	акция			67-72,96-101	состав группы «Балтика». Последняя планировала перевести на единую акцию свои дочерние компании,акции которых котировались в RTS Board. Конвертация была запланирована на 28 декабря. Однако
3517	акция			93-98	считают, что размещение «Магнита» пройдет вполне успешно, однако ждать ажиотажного спроса на акции компании все-таки не стоит. Розничная сеть «Магнит» до последнего времени принадлежала краснодарскому
3518	акция			95-100	продавать реальные активы, какие-то - может быть, блокирующие, а может, и контрольные - пакеты акций работающих энергетических предприятий, чтобы получить от Запада еще какие-то миллиарды. Нормальный свежий
3519	акция			113-118	"может понравиться ""приватизаторская"" деятельность банкира. Ведь не напрасно большая часть бывших государственных акций оказалась на балансе оффшорных компаний, хозяева которых пока не названы. Поэтому очень"
3520	акция			85-90	), а также инвестиционного банка «Открытие» (на 100% принадлежит ФК). «Размер пакета акций АСВ в объединенном банке составит около 17% при оценочном подходе к определению
3521	акция			101-106	60% российского производства этого металла, входит в группу «Челябинский трубопрокатный завод» (ЧТПЗ).Акции ЧЦЗ торгуются на РТС. По данным на начало текущего года, 87,99%
3522	акция			102-107	сотовом операторе – ОАО «ВымпелКом» – российский консорциум и норвежский Telenor, контролирующий 26,6%акций сотовой компании, уже долгое время не могут прийти к компромиссу по поводу
3523	акция			61-66	40 млрд долл. в течение последних двух лет. С начала года их акции подорожали в среднем на 36% и, как полагают аналитики, коррекция им не
3524	акция			2-7,59-64	% акций ТГК-6 и 37,5% — ТГК-7. С момента покупки стоимость акций обеих компаний существенно снизилась (более чем на 50%), и выкупать их по
3525	акция			83-88	. Впрочем, одна вполне конкретная реакция на это заявление была: за несколько дней акции«Иркутскэнерго» подорожали на 70%. Не исключено, что от этой идеи отказались под
3526	акция			117-122	, чтобы внять требованиям работников и отрегулировать трудовой график, администрация предприятия выписала участникам акции дисциплинарные взыскания, а лидеров профсоюзов — Колегова и Морозова — и вовсе уволила. — После
3527	акция			82-87	своей нефтяной «дочки». В пресс-службе «Газпром нефти» пояснили, что помимо 49,39%акций SE, которыми компания владеет напрямую, она имеет право приобрести у «Газпрома» оставшиеся
3528	акция			56-61,112-117	Пронто-Москва» г-н Макарон получил 75,9 млн долл. и 3,8%акций TME. Однако, как стало известно РБК daily, продав акции «Пронто-Москва», г-н
3529	акция			101-106	резкое -- на треть -- уменьшение числа туристов из Великобритании и Германии. Дополнительная эмиссия акций крупнейшей в стране нефтехимической компании -- «СИБУРа», дочки «Газпрома», вчера Московским арбитражным судом
3530	акция			90-95	усилить подразделение по работе с инвесторами, силами нашего IR удалось вернуть котировки акций практически к цене размещения. В глазах конкурентов выход на биржу стал очень
3531	акция			85-90	неплохие темпы роста и высокая рентабельность». Все это, по мнению аналитика, делает акции компании привлекательными в глазах инвесторов. Однако, с другой стороны, считает г-жа Кнунянц,
3532	акция			88-93	Красноперов. Алексей Языков согласен с такой оценкой торговой сети. Поэтому при покупке акций«Магнита» инвесторам во многом придется ориентироваться на других игроков рынка, уже вышедших
3533	акция			97-102	"на аукционную распродажу. Правда, вскоре Верховная Рада приняла постановление о запрещении такой акции и предложила ""изучить вопрос о возможном привлечении этой весьма дорогой коллекции в"
3534	акция			89-94	Кубка Франции против «Сошо», который вывел «Монако» в полуфинал турнира, немного повысил акции форварда. Но чтобы убедить руководство княжеского клуба выкупить его контракт у ЦСКА
3535	акция			74-79	"в 5 миллиардов рублей. Как отмечалось в сообщении, ВТБ стал владельцем 51%акций ОАО ""Московский завод ""Кристалл"", ОАО ""Астраханский ликероводочный завод"", смоленского акционерного общества производителей"
3536	акция			67-72	7%. Вместе с тем, на мировых рынках нашлись и группы компаний, чьи акции пошли вверх. Прежде всего это относится к таким крупнейшим производителям лекарств и
3537	акция			107-112	то это может сказаться на безопасности трубопроводов. – Когда, по-Вашему, решится судьба привилегированных акций«Транснефти»? Как может отразиться на капитализации компании то, что их снова вернут
3538	акция			99-104,134-139	"ГЭС - более 9 ГВт. Федеральному агентству по управлению государственным имуществом принадлежит 40 %акций ОАО ""Иркутскэнерго"", 50,19 % акций находятся в собственности частной энергокомпании ""ЕвроСибЭнерго"" (принадлежит"
3539	акция			95-100,187-192	"предприятий, расположенных в столичном регионе. Так, в собственность города перешли 61 процент акций аэропорта ""Внуково"", 38 процентов Тушинского машиностроительного завода, 49 процентов акций парфюмерной фабрики """
3540	акция			82-87	на биржу. Площадка электронной торговли привлекла 390 млн руб., разместив на ММВБ акции на 10% уставного капитала. Капитализация достигла 3,9 млрд руб., цена размещения
3541	акция			79-84	это сделать в ближайшее время. В смешанных фондах (в портфеле могут сочетаться акции и облигации) очень много зависит от профессионализма управляющего. Поэтому среди них стоит
3542	акция			100-105	законам миноритарные акционеры не могут участвовать в принятии решений. - Какова нынешняя стоимость акций? - В настоящий момент цена колеблется в пределах 202–204 швейцарских франков. –
3543	акция			85-90	первую очередь всех интересовало, насколько богаче стал клуб с покупкой половины его акций известным бизнесменом Олегом Дерипаской. Максим Ремчуков рассказал, что об этой сделке существует
3544	акция			94-99	Предельно оптимистическая оценка всего банка — $73 млн (один капитал), соответственно цена 10%акций банка — $7,3 млн, — говорит Осадчий. — Даже Сбербанк оценивается сейчас всего
3545	акция			85-90	» Банка ЗЕНИТ, использовавшего агрессивную стратегию, за год составила 61,5%, то ПИФ акций«Петр Столыпин» (УК «ОФГ Инвест») — всего 50,7%. Фонд «Петрокоммерц-1» (банк
3546	акция			78-83	один день котировки «Мечела» обвалились более чем на 37%. Резкое падение цены акций стало, в свою очередь, поводом для ряда американских акционеров подать иск с
3547	акция			100-105	Мартьянова официально раскрыла акционеров головной одноименной компании группы. Ей принадлежит 9,62%акций страховщика, еще 30% — 14 физлицам, в частности ряду менеджеров компании, а также
3548	акция			72-77	мог получить около 81 млн долл. Нельзя исключать, что сделка по продаже акций офшорам была проведена Deutsche Bank также и с целью налоговой оптимизации, но
3549	акция			71-76	в компаниях, которыми они руководят. В мае стало известно, что менее 5%акций«РЕСО-Гарантии» стоимостью до 60 млн долл. принадлежит президенту группы «РЕСО» Андрею
3550	акция			13-18,82-87	три четверти акций новой структуры. Блокирующий же пакет - 25 процентов плюс одна акция- будет принадлежать возглавляемой Владиславом Третьяком Федерации хоккея России. - Работа, проведенная ФХР по
3551	акция			61-66,121-126	на 40—45%, а возможно, и на 82—89% относительно текущей цены акций. Между тем аналитики ИГ «Атон» прогнозируют, что цена акций Imperial возрастет почти
3552	акция			85-90	в себе вещество, информация о котором не разглашается на Украине, отметили участники акции. Зарубежные ученые, исследуя данный продукт, пришли к выводу, что дело вовсе не
3553	акция			99-104	. Особенно чувствительным было падение за последнюю неделю, когда на Московской бирже обыкновенные акции банка просели более чем в два раза по сравнению с динамикой индекса
3554	акция			91-96	на госпакет «Апатита» всегда считался холдинг «Фосагро», который уже контролирует более 75%акций комбината. «Фосагро» уже предупредил потенциальных партнеров, что их ждет. «При приватизации
3555	акция			73-78	составляет 14,8—15,05 долл. за GDR, что, впрочем, соответствует динамике акций компании и на внутреннем рынке», — заметил он. Таким образом, снижение бумаг за
3556	акция			85-90	много сюрпризов и стать источником новых сильных вспышек. Москву ожидает целая серия акций, пикетов и митингов. Только за два дня, 4 и 5 марта, в
3557	акция			74-79	"Бакрадзе в отеле ""Шератон Метехи Палас"". Со дня начала в Тбилиси массовых акций оппозиции с требованием отставки президента 9 мая исполнится ровно месяц. ""Необходима смена"
3558	акция			90-95,133-138	Русснефти». Напомним, что, по неофициальной информации, в этом году «Русснефть» купила 34%акций«Гейолбента» у ЮКОСа, а остальные 66% акций актива достались «ЛУКОЙЛу» от «НОВАТЭКа»
3559	акция			81-87	этого к варягам были отправлены послы за князем как третейским судьей. Важнейшей акцией призвания стало предоставление князю ежегодного дара, то есть жалования, и запрещение князю
3560	акция			93-98	», в результате которого один из трех основных совладельцев может получить контрольный пакет акций корпорации.<o:p></o:p> Но эти противоречия, похоже, остались позади. Вчера
3561	акция			99-104	словам представителя министерства, «планируется, что государство в создаваемом СП будет владеть 51%акций, Dujetikana — 24%, Lietuvos dujos — 23%». Остальные доли будут распределены среди мелких акционеров
3562	акция			94-99	, некоторые наблюдатели объясняют отказ ММК от участия в аукционе грядущей продажей госпакета акций магнитогорского меткомбината. Менеджмент ММК, надеясь на взаимность, не стал усложнять жизнь «Мечелу»
3563	акция			49-54,92-97	сделки акционеры Goldcorp станут владельцами 60% акций объединенной компании, а Glamis – 40%акций. Капитализация компании составит 21,3 млрд долл., что позволит Goldcorp обойти своего
3564	акция			95-100	на базе активов Кузнецкого меткомбината, проданных на конкурсных торгах. Поэтому 100 процентов акций НкМК сразу же находилось в собственности группы. Первым из заводов «ЕвразХолдинга» решил
3565	акция			101-106,146-151	бы заинтересован в приобретении блокирующего пакета в «Бургас — Александруполисе», а небольшой пакет акций его вряд ли устроит. Однако купить 25% акций в проекте, по мнению
3566	акция			78-83	в гетто , подыхали в лесу , согбенные до земли , и , главное , теперь , после акции, знали , что их неминуемо ждёт смерть , твёрдо это знали , примирились , свыклись с
3567	акция			82-87	«всё сделал и ведет себя корректно по отношению к потребителям и законодательству»,акции«Мечела» на Нью-йоркской бирже подорожали сразу на 7,7%. Впрочем, отношения «Мечела
3568	акция			88-93	Усиченко, управляющий активами фонда «Максвелл Капитал». – С января по апрель котировки акций выросли с 566 до 785 пунктов по индексу РТС. Далее последовало обвальное
3569	акция			84-89,157-162	. Главную ставку КПРФ делает на готовящийся ею референдум и на продолжение массовых акций протеста. При этом социологи отмечают, что в результате протестных акций в массовом
3570	акция			84-89	авто по миру. Госн стал генеральным директором компании Renault, которая владеет 44%акций Nissan, в 2005 году, сменив на этом посту Луиса Швейцера.Гендиректор Renault
3571	акция			123-128	американской компании UGS, разработчика программного обеспечения. Одновременно Siemens планирует провести размещение части акций своего машиностроительного подразделения VDO. Эксперты считают, что Siemens старается компенсировать негативные эффекты
3572	акция			93-98	проблема, к сожалению, все еще далека от разрешения. Успешные политические и законодательные акции необходимы, но недостаточны. Если взрывы продолжаются, значит, в главном - в экономике, социальной
3573	акция			85-90	1 сентября — 16,7 млрд руб. Балтинвестбанк планирует разместить 60 тыс. обыкновенных акций номиналом 1000 руб. среди двух крупнейших акционеров — ОАО «Самарский подшипниковый завод» (СПЗ
3574	акция			84-89	Sony Pictures Television, завершившая в начале этого года сделку по приобретению 51%акций компании «Леан-М». До этого Sony Pictures Television, как и Fremantle Media
3575	акция			89-94	"объявлено, что через три-четыре года стратегическим инвесторам могут предложить и пакеты акций""Интер РАО ЕЭС"", при этом доля государства в компании не опустится ниже"
3576	акция			76-81	платежи, но никаких переговоров с ФСК не ведет. Договоры на покупку пакетов акций ТГК-6 (23,58%) и ТГК-7 (32,14%) были подписаны КЭС-
3577	акция			96-102	превзошли все ожидания аналитиков. «Лебедянский» находится сейчас на пике интереса инвесторов к акциям компании. И, безусловно, всех интересует, как будет развиваться ситуация в дальнейшем. Консультанты «
